iter	Accuracy	MultiClass
0	0.5051020408	1.609156097
1	0.5442176871	1.608963041
2	0.574829932	1.608733644
3	0.5731292517	1.608466641
4	0.5901360544	1.608161863
5	0.5952380952	1.607915992
6	0.6088435374	1.607658634
7	0.5867346939	1.607474495
8	0.5833333333	1.607169887
9	0.5765306122	1.606915152
10	0.5799319728	1.606658635
11	0.5850340136	1.606398219
12	0.593537415	1.606109446
13	0.5918367347	1.605866124
14	0.5918367347	1.605601416
15	0.5901360544	1.605383555
16	0.6139455782	1.605169641
17	0.612244898	1.604864393
18	0.6105442177	1.604582734
19	0.6207482993	1.604370034
20	0.612244898	1.604126265
21	0.619047619	1.603858965
22	0.630952381	1.603581792
23	0.6275510204	1.6032699
24	0.630952381	1.603042641
25	0.6292517007	1.602830666
26	0.6343537415	1.602572527
27	0.6326530612	1.602311656
28	0.6326530612	1.602028233
29	0.6326530612	1.601789646
30	0.6343537415	1.601556851
31	0.6394557823	1.601246842
32	0.6445578231	1.600994488
33	0.6462585034	1.600731472
34	0.6462585034	1.600482755
35	0.6394557823	1.600240344
36	0.6258503401	1.599981271
37	0.6292517007	1.599801986
38	0.6411564626	1.599589269
39	0.6343537415	1.599367368
40	0.6326530612	1.599104792
41	0.630952381	1.598859202
42	0.630952381	1.59861087
43	0.637755102	1.598354288
44	0.6445578231	1.598056737
45	0.6462585034	1.597730688
46	0.6428571429	1.59745478
47	0.6445578231	1.597284565
48	0.6479591837	1.597025868
49	0.6445578231	1.596781006
50	0.637755102	1.596497367
51	0.6394557823	1.59628522
52	0.6428571429	1.596032824
53	0.6428571429	1.595751795
54	0.6360544218	1.595524685
55	0.6394557823	1.59525689
56	0.637755102	1.595022703
57	0.6428571429	1.594713297
58	0.6445578231	1.594523483
59	0.6428571429	1.594264084
60	0.6394557823	1.594025058
61	0.6394557823	1.593816928
62	0.637755102	1.593560339
63	0.6428571429	1.593312921
64	0.6411564626	1.593054336
65	0.6394557823	1.592803435
66	0.6360544218	1.592578629
67	0.6445578231	1.592313752
68	0.6428571429	1.592033927
69	0.6445578231	1.591779202
70	0.6462585034	1.591536941
71	0.6496598639	1.591299845
72	0.6462585034	1.591066034
73	0.6445578231	1.590830323
74	0.6513605442	1.590578517
75	0.6462585034	1.59028964
76	0.6513605442	1.590018258
77	0.6513605442	1.589730387
78	0.6479591837	1.589516679
79	0.6479591837	1.589198005
80	0.6513605442	1.588992081
81	0.6445578231	1.588738721
82	0.6445578231	1.588458639
83	0.6462585034	1.588176565
84	0.6479591837	1.587957453
85	0.6445578231	1.587715465
86	0.6462585034	1.587427891
87	0.6445578231	1.587224513
88	0.6479591837	1.586992481
89	0.6445578231	1.586703566
90	0.6462585034	1.586404101
91	0.6496598639	1.586185185
92	0.6530612245	1.585969927
93	0.6496598639	1.585715505
94	0.6428571429	1.585430529
95	0.6445578231	1.585173683
96	0.6462585034	1.584939432
97	0.6445578231	1.584678706
98	0.6462585034	1.584466967
99	0.6428571429	1.584227347
100	0.6445578231	1.583990756
101	0.6513605442	1.583783173
102	0.6496598639	1.583576126
103	0.6530612245	1.583343354
104	0.6530612245	1.583098778
105	0.6513605442	1.582935708
106	0.6496598639	1.582703754
107	0.6513605442	1.582438313
108	0.6496598639	1.58218418
109	0.6547619048	1.581933645
110	0.6530612245	1.581649033
111	0.6513605442	1.581405154
112	0.6530612245	1.581132091
113	0.6479591837	1.580927976
114	0.6479591837	1.580690297
115	0.6496598639	1.580446446
116	0.6462585034	1.580203588
117	0.6496598639	1.579944957
118	0.6530612245	1.579710549
119	0.6547619048	1.579462919
120	0.6581632653	1.579257862
121	0.6547619048	1.579038172
122	0.6513605442	1.578808066
123	0.6479591837	1.57858458
124	0.6479591837	1.578358957
125	0.6496598639	1.578121266
126	0.6530612245	1.577856646
127	0.6496598639	1.577670339
128	0.6530612245	1.577479959
129	0.6530612245	1.577219517
130	0.6547619048	1.577045331
131	0.6530612245	1.576821089
132	0.6530612245	1.576600182
133	0.6496598639	1.576345786
134	0.6479591837	1.576105085
135	0.6530612245	1.575800389
136	0.6513605442	1.575583635
137	0.6530612245	1.575395222
138	0.6496598639	1.575118964
