iter	Passed	Remaining
0	59	11792
1	60	6032
2	62	4106
3	64	3140
4	65	2567
5	67	2181
6	69	1909
7	71	1704
8	72	1547
9	75	1426
10	76	1322
11	78	1231
12	80	1157
13	82	1090
14	83	1035
15	85	987
16	87	942
17	89	904
18	91	866
19	92	834
20	94	803
21	95	776
22	98	754
23	99	733
24	101	711
25	103	692
26	105	673
27	106	655
28	108	641
29	110	627
30	112	613
31	114	600
32	116	588
33	118	576
34	119	564
35	121	553
36	123	543
37	125	533
38	127	524
39	128	515
40	130	507
41	132	498
42	134	491
43	136	483
44	138	475
45	139	468
46	141	460
47	142	452
48	144	445
49	146	438
50	147	431
51	149	425
52	150	418
53	152	412
54	154	406
55	155	400
56	157	394
57	158	388
58	160	383
59	162	378
60	163	373
61	165	367
62	166	362
63	168	357
64	170	353
65	171	348
66	173	343
67	174	339
68	176	334
69	177	330
70	179	326
71	181	322
72	182	317
73	184	313
74	185	309
75	187	306
76	189	302
77	190	298
78	192	294
79	193	290
80	195	287
81	197	283
82	198	280
83	200	276
84	201	273
85	203	269
86	205	266
87	206	263
88	208	259
89	209	256
90	211	253
91	213	250
92	215	247
93	217	244
94	218	241
95	220	238
96	221	235
97	223	232
98	225	229
99	226	226
100	228	223
101	230	221
102	232	218
103	233	215
104	235	212
105	237	210
106	238	207
107	240	204
108	242	202
109	243	199
110	244	196
111	246	193
112	248	191
113	249	188
114	251	185
115	253	183
116	254	180
117	256	178
118	258	175
119	259	173
120	261	170
121	263	168
122	264	165
123	266	163
124	268	161
125	270	158
126	272	156
127	273	153
128	275	151
129	276	149
130	278	146
131	280	144
132	281	141
133	283	139
134	284	137
135	286	134
136	288	132
137	290	130
138	291	128
139	293	125
140	295	123
141	296	121
142	298	118
143	299	116
144	301	114
145	303	112
146	304	109
147	305	107
148	307	105
149	308	102
150	310	100
151	311	98
152	313	96
153	315	94
154	316	92
155	318	89
156	320	87
157	321	85
158	323	83
159	325	81
160	326	79
161	328	77
162	330	74
163	331	72
164	333	70
165	335	68
166	337	66
167	338	64
168	340	62
169	342	60
170	343	58
171	345	56
172	346	54
173	348	52
174	350	50
175	351	47
176	353	45
177	355	43
178	356	41
179	358	39
180	359	37
181	361	35
182	363	33
183	364	31
184	366	29
185	368	27
186	369	25
187	372	23
188	373	21
189	375	19
190	377	17
191	378	15
192	380	13
193	381	11
194	383	9
195	385	7
196	386	5
197	388	3
198	390	1
199	391	0
