apk_name,api_calls,permissions,suspicious_resources,entropy,version,storage,base_name_length,top_level_domain_match,sensitive_api_count,label
MGK_1.1.0.1_Launcher,1071,10,4,3.746439344671016,1.101,0.46,20,1,4,white
app-22102401,6285,24,11,2.688721875540867,1.05322102401,5.93,12,1,10,white
18,9581,33,45,1.0,1.64,37.84,2,0,53,black
♚,15361,73,108,-0.0,1.0,89.33,1,0,296,scam
217317,13086,17,20,1.9182958340544891,2.01,17.96,6,1,67,black
糖心Vlog,5468,9,48,2.584962500721156,23.1026,24.13,6,1,40,scam
com.huaxiaozhu.rider_1.8.6,3153,34,88,3.931208948910322,1.86,72.87,26,1,1,black
gsh,19017,38,151,1.584962500721156,3.07,46.17,3,0,211,white
HXgroup,2817,11,13,2.807354922057604,3.11,16.03,7,1,4,scam
sdmmm0001,7872,12,27,2.113283334294875,2.72,11.73,9,1,39,sex
shlsys0283,7868,12,27,2.8464393446710154,2.719,11.64,10,1,39,sex
Telegram,9454,61,213,2.75,9.65,21.47,8,1,118,white
shiwenys0017,7862,12,27,3.2516291673878226,2.718,11.64,12,1,39,sex
gyt_1.4.4_20231024,27,30,36,3.197159723424149,1.44,27.63,18,1,0,white
联博经办,14478,67,94,10.0,2.7,51.54,4,0,277,scam
ezpay-v2.0.29,9421,26,58,3.392747410448785,2.0,64.48,13,1,22,black
zz,12431,24,49,-0.0,1.841,42.24,2,1,127,black
xiluwei1,276,6,45,2.75,6.67,37.73,8,0,2,black
24-cb6683app-release,3715,4,5,3.684183719779188,1.0,2.13,20,1,6,gamble
meSurveillance_universal_v4_1692175572675.0.12.1063_release,13581,56,221,4.328565346451485,4.0121063,99.65,59,1,38,white
37aa0879ec32ef974df36a93afe92184,1944,19,5,3.616729296672175,1.5,0.79,32,1,14,sex
sfczhushou_v1027,11867,45,45,3.625,1.027,36.05,16,1,70,white
jms_8395,9767,9,86,3.0,1.63,35.17,8,1,31,black
yxwpfz0019,12023,18,18,3.1219280948873624,30.2,10.04,10,1,103,black
xinhuolang_v1.0.0_downyi.com,64,17,50,4.0836169753972325,1.0,55.54,28,1,2,sex
cqeq,26771,67,156,1.5,6.111202307130514,81.23,4,1,111,sex
transtar-2.0.0,4141,15,45,3.09306920777189,2.0,51.02,14,0,16,white
jmcomicios2.mic,21202,31,40,2.822579761842491,2.53,33.05,15,1,191,black
tdl87wxsp6bowdk04z,7172,22,48,3.94770277922009,4.0,20.28,18,1,20,gamble
华西终端,7732,25,56,2.0,1.08,45.33,4,1,52,scam
oneMallSystem1-v1.0.3,6693,25,33,4.011365041826379,1.03,17.89,21,0,51,white
shiwenys0022,7862,12,27,3.084962500721156,2.718,11.66,12,1,39,sex
wwl,7879,35,99,0.9182958340544896,1.16,30.75,3,0,23,sex
おかお,0,0,0,10.0,0.0,70.54,3,0,0,scam
ttacg,27,47,47,1.9219280948873625,1.04,24.08,5,1,0,scam
gsedj_v1.0_downyi.com,3933,15,34,4.011365041826379,1.0,19.59,21,0,20,black
hlj_0708,1739,13,19,2.75,1.0,14.12,8,1,2,sex
com.rlsas.rlsas,9792,30,38,2.8402239289418523,24.0104,29.92,15,1,56,scam
ktll44,3645,20,20,1.9182958340544896,4.722421,3.13,6,1,8,white
kb-daoqi012cpa,5066,14,26,3.6644977792004623,2.1,11.82,14,1,21,white
云账,3617,14,60,1.0,1.01,2.95,2,1,6,white
523703,7053,7,6,2.2516291673878226,3.2,7.96,6,0,31,black
huikerenmai.3.0.0,7276,24,11,3.4548223999466066,3.0,10.07,17,1,18,scam
zhwdzjswxyg,3386,12,20,3.0957952550009344,1.2,75.07,11,1,14,white
leafnetnext_v3.70.01_9c64080_prod_release_2023.10.13_095225_signed,54,55,97,10.0,3.7001,77.83,66,0,1,black
HTYX,6713,25,32,2.0,1.0,24.06,4,0,51,scam
34-zc3376app-release,3715,4,5,3.5464393446710147,1.0,2.12,20,1,6,black
bcbejafn.jfcgjbdo.fhjbdacp,1494,7,13,3.488525294897748,1.0,6.67,26,0,3,scam
LC-SM,34,25,28,2.321928094887362,24.0314,37.69,5,1,0,scam
xingzhe,25240,85,185,2.807354922057604,8.2812,99.07,7,1,228,white
mwmr102,5652,14,59,2.5216406363433186,2.7,41.86,7,1,17,black
hutaodzslm,14403,24,21,3.321928094887362,1.1,28.16,10,1,151,white
民生机构通[,7750,17,53,10.0,10.01,24.08,6,0,52,scam
cic,2798,11,14,0.9182958340544896,3.11,16.8,3,1,4,scam
kisssub_app,1410,11,7,2.8453509366224368,2e-06,7.48,11,1,5,sex
Jixyx0113_6747,9581,30,49,3.378783493486176,6.747,60.57,14,1,53,white
banana_v3.4.4_1666671540_xjjhy_1,7879,35,99,3.866729296672175,1.17,30.75,32,0,23,sex
htclw39f2,15742,34,88,3.169925001442312,3.9,60.95,9,1,76,white
lianxing,8434,33,72,2.5,1.06,28.78,8,0,57,black
ywjx,8605,20,62,2.0,1.38,47.56,4,1,108,white
15-hc490app-release,3715,4,5,3.6818808028034025,1.0,2.14,19,1,6,gamble
HGA0_6_5,1472,2,7,2.75,0.65,3.88,8,0,7,white
cilicili_v3.4.7_1684734688,13244,29,64,10.0,3.47,26.22,26,0,123,sex
yxwpjsq0031,12026,18,20,3.277613436819116,30.2,12.27,11,1,103,black
dxjgb2,2374,11,33,2.584962500721156,8.161,10.38,6,1,4,scam
fengchi11033,27,25,30,3.251629167387823,2.89,24.2,12,1,0,white
gxhfwxspa,16,13,9,10.0,1.0,17.89,9,0,0,sex
8,34,12,15,10.0,2.061,11.8,1,0,0,black
713035,13086,17,20,2.2516291673878226,2.01,17.96,6,1,67,white
570988a25bfa0fe114d66ebd906e363e,4,25,73,10.0,5.02,39.86,32,0,0,sex
wmw5.1.8,6133,6,14,2.5,5.18,4.59,8,1,11,sex
yfwz,2868,47,52,2.0,1.9,5.14,4,0,25,scam
65148,6468,12,22,2.321928094887362,2.69,10.29,5,1,36,sex
redungeon_v4.65_downyi.com,7381,7,44,4.026986833359286,4.65,41.22,26,1,14,white
cpl_dk1002_1.0.2_Online_10007_20240314,4625,17,151,3.6792527641163,1.02,244.29,38,1,9,gamble
tpSurveillance_universal_v4_1695204371722.15.10.1132_release,13936,56,125,4.372905595320056,4.15101132,82.51,60,1,51,white
5,34,12,14,10.0,1.0,11.91,1,0,0,sex
app-zhongmei_release-release,15896,38,75,3.5785559236087936,1.02,85.22,28,1,51,white
com.eizg.nwtq,2374,11,34,3.5465935642949384,8.161,10.44,13,1,4,scam
14-hc473app-release,3715,4,5,3.5766176449086657,1.0,2.14,19,1,6,gamble
SmartCharge-release-v1.20.6-20231009_1206_jiagu_signed,27,35,78,4.440189012169191,1.206,24.53,54,1,0,white
jwt,8574,34,56,1.584962500721156,1.08,43.13,3,1,53,white
sghjkv8trha,7172,22,48,3.277613436819116,4.0,20.27,11,1,20,gamble
com.gchfm.gchfm1,9792,30,41,2.9056390622295662,23.1208,30.1,16,1,56,scam
15060298,8237,24,41,2.75,1.033,49.95,8,1,81,gamble
tvchong2.3.6,21253,38,47,3.4182958340544896,2.36,31.87,12,1,166,black
xx,10761,46,68,-0.0,4.73,30.28,2,0,31,scam
JMComic212.20,9865,9,90,3.334679141051595,1.64,37.08,13,1,36,sex
